year,w_m_ratio,ISO,country
2006,0.6288944928007809,COD,"Congo, Dem. Rep."
2007,0.6288944928007809,COD,"Congo, Dem. Rep."
2008,0.6288944928007809,COD,"Congo, Dem. Rep."
2009,0.6288944928007809,COD,"Congo, Dem. Rep."
2010,0.6288944928007809,COD,"Congo, Dem. Rep."
2011,0.6288944928007809,COD,"Congo, Dem. Rep."
1995,0.8504961637366625,DNK,Denmark
1996,0.8504961637366625,DNK,Denmark
1997,0.8504961637366625,DNK,Denmark
1998,0.8504961637366625,DNK,Denmark
1999,0.8504961637366625,DNK,Denmark
2000,0.8504961637366625,DNK,Denmark
2001,0.8504961637366625,DNK,Denmark
2002,0.8504961637366625,DNK,Denmark
2003,0.8504961637366625,DNK,Denmark
2004,0.8504961637366625,DNK,Denmark
2005,0.8504961637366625,DNK,Denmark
2006,0.8504961637366625,DNK,Denmark
2007,0.8504961637366625,DNK,Denmark
2008,0.8504961637366625,DNK,Denmark
2009,0.8504961637366625,DNK,Denmark
2010,0.8503386992523678,DNK,Denmark
2011,0.8503386992523678,DNK,Denmark
1995,0.7662323820351319,ECU,Ecuador
1996,0.7883372911191189,ECU,Ecuador
1997,0.8283259399629614,ECU,Ecuador
1998,0.774832525115116,ECU,Ecuador
1999,0.8250330576572488,ECU,Ecuador
2000,0.8257569950172481,ECU,Ecuador
2001,0.7592602377807133,ECU,Ecuador
2002,0.7936814001779887,ECU,Ecuador
2003,0.8630952380952381,ECU,Ecuador
2004,0.8993012376384201,ECU,Ecuador
2005,0.8436177928200169,ECU,Ecuador
2006,0.8988918837975441,ECU,Ecuador
2007,0.8518817344229868,ECU,Ecuador
2008,0.8662743052968784,ECU,Ecuador
2009,0.8721559872702228,ECU,Ecuador
2010,0.91305872810575,ECU,Ecuador
2011,0.9420696146841556,ECU,Ecuador
1995,0.8137262443438913,EGY,"Egypt, Arab Rep."
1996,0.8137262443438913,EGY,"Egypt, Arab Rep."
1997,0.8623852239839266,EGY,"Egypt, Arab Rep."
1998,0.8521751519566233,EGY,"Egypt, Arab Rep."
1999,0.7837847109068143,EGY,"Egypt, Arab Rep."
2000,0.7396457622420403,EGY,"Egypt, Arab Rep."
2001,0.8471336830640289,EGY,"Egypt, Arab Rep."
2002,0.8323344853364876,EGY,"Egypt, Arab Rep."
2003,0.8324023066599455,EGY,"Egypt, Arab Rep."
2004,0.875647618831255,EGY,"Egypt, Arab Rep."
2005,0.7767442659233396,EGY,"Egypt, Arab Rep."
2006,0.7966078989312291,EGY,"Egypt, Arab Rep."
2007,0.7777780725022104,EGY,"Egypt, Arab Rep."
2008,0.7777780725022104,EGY,"Egypt, Arab Rep."
2009,0.7777780725022104,EGY,"Egypt, Arab Rep."
2010,0.7777780725022104,EGY,"Egypt, Arab Rep."
2011,0.7777780725022104,EGY,"Egypt, Arab Rep."
1995,0.7832327103141608,SLV,El Salvador
1996,0.7832327103141608,SLV,El Salvador
1997,0.7832327103141608,SLV,El Salvador
1998,0.7832327103141608,SLV,El Salvador
1999,0.7832327103141608,SLV,El Salvador
2000,0.7912358218090703,SLV,El Salvador
2001,0.7675633606661156,SLV,El Salvador
2002,0.7370355158773049,SLV,El Salvador
2003,0.7370355158773049,SLV,El Salvador
2004,0.8104029476324867,SLV,El Salvador
2005,0.8031411677753141,SLV,El Salvador
2006,0.8850411253747406,SLV,El Salvador
2007,0.8232913190129594,SLV,El Salvador
2008,0.8473467665365545,SLV,El Salvador
2009,0.8139826041117555,SLV,El Salvador
2010,0.8446894473738272,SLV,El Salvador
2011,0.8446894473738272,SLV,El Salvador
1995,0.7358977417757594,EST,Estonia
1996,0.7358977417757594,EST,Estonia
1997,0.7358977417757594,EST,Estonia
1998,0.7358977417757594,EST,Estonia
1999,0.7358977417757594,EST,Estonia
2000,0.7358977417757594,EST,Estonia
2001,0.7358977417757594,EST,Estonia
2002,0.7358977417757594,EST,Estonia
2003,0.7358977417757594,EST,Estonia
2004,0.7358977417757594,EST,Estonia
2005,0.7358977417757594,EST,Estonia
2006,0.7219984070156552,EST,Estonia
2007,0.7130702361377801,EST,Estonia
2008,0.7439393429087275,EST,Estonia
2009,0.7439393429087275,EST,Estonia
2010,0.7439393429087275,EST,Estonia
2011,0.7439393429087275,EST,Estonia
1995,0.7862512529234882,FIN,Finland
1996,0.7953484629003702,FIN,Finland
1997,0.7887951615470317,FIN,Finland
1998,0.7915126309303758,FIN,Finland
1999,0.7716830053131781,FIN,Finland
2000,0.7877542342853093,FIN,Finland
2001,0.8017206063088897,FIN,Finland
2002,0.8038049940546967,FIN,Finland
2003,0.8038916444105303,FIN,Finland
2004,0.808714918759232,FIN,Finland
2005,0.8087451119800925,FIN,Finland
2006,0.8018480492813141,FIN,Finland
2007,0.8016474464579901,FIN,Finland
2008,0.8084772370486656,FIN,Finland
2009,0.8111313868613139,FIN,Finland
2010,0.8147706968433591,FIN,Finland
2011,0.8147706968433591,FIN,Finland
1995,0.7975952606302802,FRA,France
1996,0.7975952606302802,FRA,France
1997,0.7975952606302802,FRA,France
1998,0.7975952606302802,FRA,France
1999,0.8015739179314222,FRA,France
2000,0.8146551724137931,FRA,France
2001,0.8151260504201681,FRA,France
2002,0.8,FRA,France
2003,0.8014981273408239,FRA,France
2004,0.8122605363984674,FRA,France
2005,0.8141263940520446,FRA,France
2006,0.8152173913043478,FRA,France
2007,0.8140350877192982,FRA,France
2008,0.8125211505922166,FRA,France
2009,0.8236278447121821,FRA,France
2010,0.8236278447121821,FRA,France
2011,0.8236278447121821,FRA,France
1995,0.5214521452145214,GEO,Georgia
1996,0.5214521452145214,GEO,Georgia
1997,0.5214521452145214,GEO,Georgia
1998,0.5214521452145214,GEO,Georgia
1999,0.5214521452145214,GEO,Georgia
2000,0.542984849606461,GEO,Georgia
2001,0.5071884984025559,GEO,Georgia
2002,0.5043304463690873,GEO,Georgia
2003,0.5257668711656441,GEO,Georgia
2004,0.5391782868525896,GEO,Georgia
2005,0.4893617021276596,GEO,Georgia
2006,0.4904861878453039,GEO,Georgia
2007,0.5050928145475343,GEO,Georgia
2008,0.5419671125942609,GEO,Georgia
2009,0.5765135218860288,GEO,Georgia
2010,0.5742619044413629,GEO,Georgia
2011,0.5742619044413629,GEO,Georgia
1995,0.7522267206477733,DEU,Germany
1996,0.7613233556518314,DEU,Germany
1997,0.7693798449612403,DEU,Germany
1998,0.7726411519514967,DEU,Germany
1999,0.7758938444526354,DEU,Germany
2000,0.7869692532942899,DEU,Germany
2001,0.7914285714285715,DEU,Germany
2002,0.7912772585669782,DEU,Germany
2003,0.7937415881561238,DEU,Germany
2004,0.7979564930784443,DEU,Germany
2005,0.8014896373056994,DEU,Germany
2006,0.8036966220522626,DEU,Germany
2007,0.8066023045780131,DEU,Germany
2008,0.807832422586521,DEU,Germany
2009,0.821987951807229,DEU,Germany
2010,0.8170374707259953,DEU,Germany
2011,0.8155644241733181,DEU,Germany
1995,0.8196750305013573,GHA,Ghana
1996,0.8196750305013573,GHA,Ghana
1997,0.8196750305013573,GHA,Ghana
1998,0.8196750305013573,GHA,Ghana
1999,0.8196750305013573,GHA,Ghana
2000,0.8196750305013573,GHA,Ghana
2001,0.8196750305013573,GHA,Ghana
2002,0.8196750305013573,GHA,Ghana
2003,0.8196750305013573,GHA,Ghana
2004,0.8196750305013573,GHA,Ghana
2005,0.8196750305013573,GHA,Ghana
2006,0.8196750305013573,GHA,Ghana
2007,0.8196750305013573,GHA,Ghana
2008,0.8196750305013573,GHA,Ghana
2009,0.8196750305013573,GHA,Ghana
2010,0.8196750305013573,GHA,Ghana
2011,0.8196750305013573,GHA,Ghana
1995,0.8180080116533139,GTM,Guatemala
1996,0.8180080116533139,GTM,Guatemala
1997,0.8180080116533139,GTM,Guatemala
1998,0.8180080116533139,GTM,Guatemala
1999,0.8180080116533139,GTM,Guatemala
2000,0.8180080116533139,GTM,Guatemala
2001,0.8180080116533139,GTM,Guatemala
2002,0.8180080116533139,GTM,Guatemala
2003,0.8180080116533139,GTM,Guatemala
2004,0.8180080116533139,GTM,Guatemala
2005,0.8180080116533139,GTM,Guatemala
2006,0.8180080116533139,GTM,Guatemala
2007,0.8180080116533139,GTM,Guatemala
2008,0.8180080116533139,GTM,Guatemala
2009,0.8180080116533139,GTM,Guatemala
2010,0.8180080116533139,GTM,Guatemala
2011,0.8180080116533139,GTM,Guatemala
1995,1.009008402562742,GUY,Guyana
1996,1.009008402562742,GUY,Guyana
1997,1.009008402562742,GUY,Guyana
1998,1.009008402562742,GUY,Guyana
1999,1.009008402562742,GUY,Guyana
2000,1.009008402562742,GUY,Guyana
2001,1.009008402562742,GUY,Guyana
2002,1.009008402562742,GUY,Guyana
2003,1.009008402562742,GUY,Guyana
2004,1.009008402562742,GUY,Guyana
2005,0.9728518998272884,GUY,Guyana
2006,0.9100482096991819,GUY,Guyana
2007,0.9114559578497229,GUY,Guyana
2008,0.9114559578497229,GUY,Guyana
2009,0.9114559578497229,GUY,Guyana
2010,0.9114559578497229,GUY,Guyana
2011,0.9114559578497229,GUY,Guyana
1995,0.7736912115466944,HND,Honduras
1996,0.8071434463416646,HND,Honduras
1997,0.7893944844428457,HND,Honduras
1998,0.8135264935833086,HND,Honduras
1999,0.7839473017481631,HND,Honduras
2000,0.7839473017481631,HND,Honduras
2001,0.838366996706453,HND,Honduras
2002,0.847945268869843,HND,Honduras
2003,0.948929255953701,HND,Honduras
2004,0.9007021620192766,HND,Honduras
2005,0.9342235918507104,HND,Honduras
2006,0.9215727376175361,HND,Honduras
2007,0.9402848047580556,HND,Honduras
2008,0.9191596339528054,HND,Honduras
2009,0.9901104828330176,HND,Honduras
2010,1.0241461619303314,HND,Honduras
2011,1.0241461619303314,HND,Honduras
1995,0.6815286624203821,ISL,Iceland
1996,0.6815286624203821,ISL,Iceland
1997,0.6815286624203821,ISL,Iceland
1998,0.6815286624203821,ISL,Iceland
1999,0.6882352941176471,ISL,Iceland
2000,0.675392670157068,ISL,Iceland
2001,0.6824644549763034,ISL,Iceland
2002,0.7104072398190046,ISL,Iceland
2003,0.7136752136752137,ISL,Iceland
2004,0.7224489795918367,ISL,Iceland
2005,0.7302158273381295,ISL,Iceland
2006,0.7508305647840532,ISL,Iceland
2007,0.7710843373493976,ISL,Iceland
2008,0.7926136363636364,ISL,Iceland
2009,0.8138888888888889,ISL,Iceland
2010,0.8262032085561497,ISL,Iceland
2011,0.816793893129771,ISL,Iceland
1995,0.8179271708683473,IRQ,Iraq
1996,0.8179271708683473,IRQ,Iraq
1997,0.8179271708683473,IRQ,Iraq
1998,0.8179271708683473,IRQ,Iraq
1999,0.8179271708683473,IRQ,Iraq
2000,0.8179271708683473,IRQ,Iraq
2001,0.8179271708683473,IRQ,Iraq
2002,0.8179271708683473,IRQ,Iraq
2003,0.8179271708683473,IRQ,Iraq
2004,0.8179271708683473,IRQ,Iraq
2005,0.8179271708683473,IRQ,Iraq
2006,0.8179271708683473,IRQ,Iraq
2007,0.8179271708683473,IRQ,Iraq
2008,0.8179271708683473,IRQ,Iraq
2009,0.8179271708683473,IRQ,Iraq
2010,0.8179271708683473,IRQ,Iraq
2011,0.8179271708683473,IRQ,Iraq
1995,0.6863991561064304,IRL,Ireland
1996,0.6863991561064304,IRL,Ireland
1997,0.6863991561064304,IRL,Ireland
1998,0.6863991561064304,IRL,Ireland
1999,0.6863991561064304,IRL,Ireland
2000,0.6863991561064304,IRL,Ireland
2001,0.6863991561064304,IRL,Ireland
2002,0.6863991561064304,IRL,Ireland
2003,0.6863991561064304,IRL,Ireland
2004,0.6863991561064304,IRL,Ireland
2005,0.6863991561064304,IRL,Ireland
2006,0.7246358784820324,IRL,Ireland
2007,0.7269815945919192,IRL,Ireland
2008,0.7269815945919192,IRL,Ireland
2009,0.7269815945919192,IRL,Ireland
2010,0.7269815945919192,IRL,Ireland
2011,0.7269815945919192,IRL,Ireland
1995,0.6043463498817682,ISR,Israel
1996,0.6025081349989905,ISR,Israel
1997,0.6125642018403015,ISR,Israel
1998,0.6139522152711347,ISR,Israel
1999,0.6016303013861437,ISR,Israel
2000,0.6155310632311947,ISR,Israel
2001,0.5970840083314047,ISR,Israel
2002,0.615615962984384,ISR,Israel
2003,0.6216730038022814,ISR,Israel
2004,0.6332899869960988,ISR,Israel
2005,0.6319533527696793,ISR,Israel
2006,0.6337235996326905,ISR,Israel
2007,0.641955325348009,ISR,Israel
2008,0.6312454554897684,ISR,Israel
2009,0.6591791749763829,ISR,Israel
2010,0.6570199895062808,ISR,Israel
2011,0.6570199895062808,ISR,Israel
1995,0.6282679738562091,JPN,Japan
1996,0.6282679738562091,JPN,Japan
1997,0.6282679738562091,JPN,Japan
1998,0.6282679738562091,JPN,Japan
1999,0.6282679738562091,JPN,Japan
2000,0.6348906292195517,JPN,Japan
2001,0.6348058902275769,JPN,Japan
2002,0.6494424802828392,JPN,Japan
2003,0.6494845360824743,JPN,Japan
2004,0.7238694219826295,JPN,Japan
2005,0.6423004568664338,JPN,Japan
2006,0.6401931848671853,JPN,Japan
2007,0.6490332975295381,JPN,Japan
2008,0.6582724072569727,JPN,Japan
2009,0.6858432036097011,JPN,Japan
2010,0.6766666666666666,JPN,Japan
2011,0.6766666666666666,JPN,Japan
1995,0.65625,JOR,Jordan
1996,0.6456456456456456,JOR,Jordan
1997,0.6540697674418605,JOR,Jordan
1998,0.6545961002785515,JOR,Jordan
1999,0.6545961002785515,JOR,Jordan
2000,0.8589743589743589,JOR,Jordan
2001,0.8865546218487395,JOR,Jordan
2002,0.8902439024390244,JOR,Jordan
2003,0.9076305220883534,JOR,Jordan
2004,0.872,JOR,Jordan
2005,0.8461538461538461,JOR,Jordan
2006,0.8556701030927835,JOR,Jordan
2007,0.8793650793650793,JOR,Jordan
2008,0.8626373626373627,JOR,Jordan
2009,0.862796833773087,JOR,Jordan
2010,0.890818858560794,JOR,Jordan
2011,0.890818858560794,JOR,Jordan
1995,0.6076696165191741,KAZ,Kazakhstan
1996,0.6076696165191741,KAZ,Kazakhstan
1997,0.6076696165191741,KAZ,Kazakhstan
1998,0.6076696165191741,KAZ,Kazakhstan
1999,0.6076696165191741,KAZ,Kazakhstan
